x,y,v
-2.8249999999999957,-3.9375,2.0
-3.048331342297505,-3.9916656711487546,2.0
-3.2337797785050677,-4.128779778505072,2.0
-3.37420567084631,-4.313150958351877,2.0
-3.4967737921167816,-4.510043258394155,2.0
-3.589144130510503,-4.722554658601447,2.0
-3.6596308844912993,-4.943523537965216,2.0
-3.7068342195950152,-5.170561463966796,2.0
-3.742475561402813,-5.39975561402816,2.0
-3.773202807265837,-5.629685381772262,2.0
-3.8009981413098606,-5.859981413098633,2.0
-3.8240865448880865,-6.090865448880909,2.0
-3.842355535805254,-6.3221107161051835,2.0
-3.8485540409182297,-6.553919181635294,2.0
-3.83696673679453,-6.785665264109295,2.0
-3.818311839367754,-7.016881606322423,2.0
-3.794106091014197,-7.247626059905334,2.0
-3.75716913401524,-7.476654329923779,2.0
-3.7164942289042364,-7.705028855478792,2.0
-3.6682635595473276,-7.931945761810669,2.0
-3.6105060746038515,-8.156646417987146,2.0
-3.5414114179852003,-8.378110234327986,2.0
-3.4616225332273034,-8.595943666931731,2.0
-3.365074623877003,-8.806682502041806,2.0
-3.2470914113818825,-9.006397828643253,2.0
-3.1019078904527557,-9.187035366393943,2.0
-2.9331931476646083,-9.345849774038635,2.0
-2.7370658961121146,-9.46896705194394,2.0
-2.5204510106181797,-9.551137247345455,2.0
-2.291654844848501,-9.586667257757576,2.0
-2.059783996262283,-9.586739199813115,2.0
-1.8288691671024018,-9.56558037506536,2.0
-1.6035424039105277,-9.51106272117316,2.0
-1.3854488056078293,-9.432118979958602,2.0
-1.2285445982907515,-9.371772299145379,2.0
-1.4440465365124615,-9.457618614604986,2.0
-1.6643373873387626,-9.529834346834692,2.0
-1.8918820328696135,-9.574188203286962,2.0
-2.123317779601496,-9.589915888980075,2.0
-2.355076332839377,-9.581992366716062,2.0
-2.581345208163614,-9.532779177142734,2.0
-2.7933483643965147,-9.439377262717805,2.0
-2.982234626691671,-9.30538121174264,2.0
-3.144154304854582,-9.139514834174497,2.0
-3.2809619867008797,-8.95256335549853,2.0
-3.3947781701985846,-8.750443659602825,2.0
-3.485247864400194,-8.53688033899951,2.0
-3.5621102445255555,-8.31796585158147,2.0
-3.6274151194272366,-8.095339522291038,2.0
-3.6813250760363108,-7.869699695854742,2.0
-3.7289697942212547,-7.64265102889371,2.0
-3.7691222309812606,-7.414185126791577,2.0
-3.8015531808921326,-7.1844681910786585,2.0
-3.8246415844703585,-6.953584155296384,2.0
-3.840143425961492,-6.7221314807700825,2.0
-3.8499999999999956,-6.49034215705286,2.0
-3.839178846638295,-6.2585769327659735,2.0
-3.817756799785485,-6.027567997854874,2.0
-3.7946683962072587,-5.796683962072599,2.0
-3.761312388127335,-5.56708258751558,2.0
-3.7318001554788407,-5.337001036525621,2.0
-3.694120530912454,-5.108102654562287,2.0
-3.639796484411341,-4.882654948037815,2.0
-3.567414763514888,-4.66228690878723,2.0
-3.4651100091871214,-4.454350015311875,2.0
-3.337115163250225,-4.260906292982455,2.0
-3.1818529016820345,-4.089172977855797,2.0
-2.982279597333048,-3.9736030095437562,2.0
-2.753429432092573,-3.9532355851861136,2.0
-2.5364938603040317,-4.03117837683278,2.0
-2.3463992864163163,-4.163950535187761,2.0
-2.158856859693972,-4.300493041198917,2.0
-1.9547517656351747,-4.409586882027688,2.0
-1.7267068274354875,-4.440085341371775,2.0
-1.507323579410139,-4.369766282816399,2.0
-1.3229087322048534,-4.230408732204857,2.0
-1.1810714998404237,-4.047619166400713,2.0
-1.0784381131750111,-3.8398452829375374,2.0
-1.006425151393471,-3.6196257569673738,2.0
-0.9782288158040937,-3.389576316081951,2.0
-0.966641511680393,-3.1578302336079407,2.0
-0.9550542075566926,-2.9260841511339337,2.0
-0.9499999999999957,-2.6941748431979873,2.0
-0.9499999999999957,-2.462139258946563,2.0
-0.9499999999999957,-2.2301036746951355,2.0
-0.9499999999999957,-1.9980680904437111,2.0
-0.9579384578122965,-1.766230843753987,2.0
-0.9695257619359972,-1.5344847612799766,2.0
-0.9921434555819622,-1.3035654441803413,2.0
-1.0202536873704278,-1.0733087508637917,2.0
-1.0595461337512875,-0.8446924416580573,2.0
-1.1068465278178872,-0.6176138887284351,2.0
-1.163123423274978,-0.3925063069000719,2.0
-1.2190366120552718,-0.16731693972362138,2.0
-1.2603908170597395,0.060938780398291495,2.0
-1.2858183014964415,0.29136602992891475,2.0
-1.2850850369214337,0.5232992615712421,2.0
-1.273497732797734,0.7550453440452525,2.0
-1.2619104286740341,0.9867914265192593,2.0
-1.2503231245503343,1.21853750899327,2.0
-1.2499999999999978,1.4505650201734557,2.0
-1.2499999999999978,1.6826006044248836,2.0
-1.2499999999999978,1.9146361886763112,2.0
-1.2499999999999978,2.146671772927735,2.0
-1.2498148634173105,2.378702731653745,2.0
-1.23822755929361,2.6104488141277518,2.0
-1.2266402551699094,2.8421948966017623,2.0
-1.2150529510462087,3.073940979075773,2.0
-1.2034656469225082,3.3056870615497793,2.0
-1.199999999999997,3.5376360587112976,2.0
-1.199999999999997,3.7696716429627215,2.0
-1.1911756621761591,4.001486756476758,2.0
-1.1795883580524587,4.233232838950764,2.0
-1.1680010539287582,4.4649789214247715,2.0
-1.1564137498050577,4.696725003898778,2.0
-1.1499999999999964,4.928600344494845,2.0
-1.1499999999999964,5.160635928746273,2.0
-1.1441237650587093,5.39252469882575,2.0
-1.1325364609350095,5.6242707812997565,2.0
-1.12094915681131,5.856016863773764,2.0
-1.1087284529228276,6.087715470771711,2.0
-1.0878118853459358,6.318762293081253,2.0
-1.0762245812222355,6.550508375555256,2.0
-1.064637277098535,6.782254458029263,2.0
-1.0530499729748344,7.014000540503271,2.0
-1.0464564305455237,7.245871389089486,2.0
-1.0348691264218242,7.477617471563494,2.0
-1.0124793090362125,7.708471273091907,2.0
-0.9750184179567921,7.937407910216034,2.0
-0.9164601369958026,8.161799543347323,2.0
-0.8445649970457306,8.382337507385671,2.0
-0.7483203090152374,8.593359381969524,2.0
-0.6350370313878948,8.795771614353507,2.0
